GPS_XSS_X,GPS_XSS_Y,ndvi,roads,pop,dem,slp,asp,sea,lc,avgt,mdr,maxt,mint,prec,seas,bf,mg,rb,ag,op,ir,of,shorebirds,n,hr_per_house,sampled_per_house,link
509687.6853,793966.0026,0.580075286,164.4948154,0.742694102,15.14525762,4.669201053,194.0142955,1683.323714,6.448276861,27.45592087,7.173657958,32.18345335,22.74819622,2282.57267,56.59331529,469.6317476,585.0664851,99.08039477,129.9657935,377.7015209,3820.174956,377.6537041,1,1,0,1,1
509687.6853,793466.0026,0.61787208,148.1648327,1.090825811,18.37798535,5.244405839,205.0684785,1506.208563,5.408312089,27.4498993,7.151815224,32.16872652,22.76061795,2288.771707,56.64069411,391.4233474,491.5936525,84.43510441,73.49929229,790.9313467,4202.323126,660.1692005,1,1,0,4,1
509687.6853,792966.0026,0.634724376,195.9045911,1.363620799,17.83522565,5.484758878,185.7578156,1460.474368,4.967241897,27.44286187,7.139278094,32.1363455,22.73414388,2294.779298,56.69888705,488.3708093,601.9619586,60.7747912,140.0778085,1116.851886,4606.86795,1049.260827,1,1,0,4,1
509187.6853,792466.0026,0.4181162,115.0242961,1.310147407,14.94367605,4.625411015,185.9238068,1025.958442,5.659935092,27.45663296,7.12545094,32.13930004,22.75345516,2292.538244,57.01608156,421.9719699,433.4383705,110.2596686,380.7959037,1262.773719,5301.318597,1742.258323,1,1,0,4,1
509687.6853,785966.0026,0.656124777,90.6837155,26.35487231,29.36097351,10.49051825,167.3024044,259.1827193,4.355542146,27.46177089,7.001673682,32.03990322,22.8836452,2272.25852,57.22891087,590.8451135,117.2121559,719.507732,42.17834803,4529.948521,11225.79863,4166.344434,1,1,0,4,1
471687.6853,777466.0026,0.360410557,1778.352962,0.011671986,17.20190738,6.11448111,202.5890835,77.14964151,2.144418659,27.47184723,7.036694112,32.09999847,22.84033278,2178.596657,56.27979921,557.0795989,1.049255976,2049.958097,1658.899821,2886.302965,11107.91679,8627.26067,1,1,0,4,1
471687.6853,776466.0026,0.725196151,512.557974,0.00085368,13.31533946,3.70763371,140.9782101,200.4641886,2.645580013,27.5037346,7.041780776,32.09999847,22.89834767,2175.717678,56.11963442,257.512726,11.05166334,778.7053191,335.7269597,1585.423714,9797.367932,7339.264106,1,1,0,4,1
471187.6853,775966.0026,0.276312914,248.7372482,0.155111223,15.53099854,4.367132843,178.5559821,111.9838477,8.59354093,27.44257521,7.030860258,32.04813182,22.82220609,2175.636843,55.79825396,292.5697272,187.1303062,462.3834174,324.9434516,1364.848737,9294.944415,6903.679776,1,1,0,4,1
471687.6853,775966.0026,0.633354299,246.679007,0.081252149,15.06423804,4.036844542,161.0473331,262.0250621,4.305127191,27.4968791,7.041896146,32.09522964,22.88022914,2175.858372,56.08708513,163.3799102,70.44698658,506.5121416,117.3430585,1296.545469,9464.247764,7023.017949,1,1,0,4,1
471187.6853,775466.0026,0.43793985,278.6003023,0.258034762,17.88432763,5.632390195,162.566012,237.1692272,6.680426,27.43172112,7.028400687,32.03843612,22.81293903,2175.569621,55.74119917,202.6648226,158.4636126,333.1254209,332.6961869,1307.475271,9135.133092,6754.461812,1,1,0,3,1
